maceip/substrate	TypeScript	
maceip/tmp-eng	Kotlin	
maceip/johnny-mnemonic	Kotlin	
maceip/tenet	Python	tenet — self-driving commerce: an agent pays a reputation-st
maceip/tenet-www	JavaScript	
maceip/sphinx-tahoe	Python	Python implementation of the Sphinx mix format. - Paper: htt
maceip/x402-algo	?	x402 on Algorand
maceip/ds4	?	DeepSeek 4 Flash local inference engine for Metal and CUDA
maceip/pinback	C	remote-accessible workspace ui for darkstar ds4
maceip/cordon	C#	A Merkle Tree Certificate authority and ACME server, in .NET
maceip/attested-workload	Rust	
maceip/faest-pass	C++	spiritual successor to 𝚙𝚛𝚒𝚟𝚊𝚌𝚢𝚙𝚊𝚜𝚜 == doesnt require secure 
maceip/vet	C++	agent memory audit kit
maceip/webkitium	C++	webkit on mac, windows, ios, android, linux. webauthn, webgp
maceip/runcards	Rust	Proof cards for agentic software. Verify what’s running befo
maceip/personal-dash-website	HTML	Source of secure.build — Ryan MacArthur's personal page
maceip/CommandCenter	Kotlin	
maceip/v9	JavaScript	
maceip/clipcity	Kotlin	Let ai manage entire cloud: auto clip, upload, measure, impr
maceip/stitch	HTML	Android library for inspecting WebView bridge messages in re
maceip/FM	Kotlin	Ambient agent with local on-device intelligence
maceip/inherent	Python	conformer 
maceip/unified-quote	Rust	Unified quote format and build attestation across cloud TEEs
maceip/anonymous-usdc-algo	?	Obscura: Privacy-Preserving Protocol for the Algorand Blockc
maceip/webkitium-release	Shell	WebKitium cross-platform debug CI (checks out maceip/webkiti
maceip/webtui	CSS	Modular CSS Library that brings the beauty of Terminal UIs t
maceip/logiclayer	Python	LogicLens implementation: synthesize AST-derived syntax and 
maceip/smui	CSS	🪐 A dark terminal-aesthetic theme for shadcn/ui. Nord-inspir
maceip/anchor	JavaScript	stop drifting
maceip/private-compute-services	?	
maceip/cosmos	Kotlin	
maceip/Retroma	CSS	Retroma is an Obsidian theme that blends nostalgic, classic 
maceip/mobile-sandbox	Kotlin	
maceip/nexus-ui	TypeScript	Beautiful, customizable components for modern AI experiences
maceip/cs16.css	CSS	CSS library based on Counter Strike 1.6 UI.
maceip/voice-typing	Rust	real time speech to text that types into any focused window 
maceip/BountyNet	Python	a prover network where agents get paid to fix your builds wi
maceip/gemma3-mcp	JavaScript	
maceip/WebKit-ng	Shell	
ZukunftBau/llm-chat-app-template	JavaScript	
maceip/bountynet-shadow	?	Attested shadow builds — ephemeral TDX VMs produce EAT token
maceip/ng-webkit-ui	C++	Staging repo for ng-webkit UI, Android WPE MiniBrowser salva
maceip/WebKit	JavaScript	Home of the WebKit project, the browser engine used by Safar
maceip/audit	CSS	
maceip/bountynet-test	Rust	Test repo for bountynet attested builds
maceip/OperitTerminalCore	Kotlin	
maceip/LiteRT-LM	C++	
maceip/cef	Rust	A hyper-optimized CEF fork for autonomous agents, stripped o
maceip/daydream	Kotlin	 local only desktop ASR /w wakeword, custom dictionary, stre
maceip/Cory	Python	
maceip/queeker	?	A twitter clone built with Qwik and drizzle ORM, inspired by
maceip/bichon	TypeScript	Bichon – A lightweight, high-performance Rust email archiver
maceip/quickstart	HCL	Quickstarts to provision Kubernetes with Otomi
maceip/adbkeeper	Rust	
maceip/hermes-agent	?	The agent that grows with you
maceip/scute	TypeScript	Expose any local server to the internet over QUIC/H3 — power
maceip/freehold-relay	Rust	T𝘳𝘶𝘴𝘵less anycast reverse proxy
maceip/hack-prep	TypeScript	Hackathon scaffold: dApp (Wake/Solidity + web + server) + An
maceip/typescript-sdk-1	?	
maceip/ai-sdk-provider	?	The OpenRouter provider for the Vercel AI SDK contains suppo
maceip/caddy-security	?	🔐 Authentication, Authorization, and Accounting (AAA) App an
maceip/llm-sidebar-infinite-context	TypeScript	
maceip/c2w-emcc4	Go	
maceip/cef-rs	Rust	
maceip/sleeve	Rust	dev tools, env vars, task runner
ZukunftBau/autobahn	EJS	⚡🪪
maceip/wiggum.ps1	PowerShell	zero dep powershell script that auto nudges all your agents:
maceip/openrouter-examples	?	Examples of integrating the OpenRouter API
maceip/Step-3.5-Flash-Distill-MolmoWeb-8B-TQ-Mixed	Python	
